Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2016-17,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.416246819,393
2016-17,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.311819876,161
2016-17,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.306032967,91
2016-17,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.475434783,69
2016-17,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.400054054,37
2016-17,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.328214286,14
2016-17,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering,Bachelor of Science,3.366076923,13
2016-17,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.179,30
2016-17,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Bachelor of Science,3.180333333,6
2016-17,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.276777778,9
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.375776596,94
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.450761905,63
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.454067797,59
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.4604,50
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.427,6
2016-17,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.279017857,168
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.29458,50
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.452851852,27
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Toxicology,Bachelor of Science,3.405538462,13
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.556571429,7
2016-17,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.234021739,46
2016-17,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.161909091,22
2016-17,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.540182519,389
2016-17,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.274410526,95
2016-17,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.368627451,51
